id,time,item
100,97,b
100,97,h
100,194,d
100,194,b
100,256,g
100,256,j
100,353,e
100,353,d
100,428,a
100,428,i
101,87,g
101,179,i
101,207,h
101,277,f
102,97,a
102,97,g
102,168,e
102,168,b
103,54,e
103,54,j
103,54,h
103,118,h
103,118,d
103,118,g
103,171,f
103,171,b
103,171,h
103,255,i
103,255,g
103,255,f
103,317,j
103,317,g
103,317,c
104,29,i
104,29,d
104,80,j
104,80,f
104,138,j
104,138,a
104,187,i
104,187,d
104,241,f
104,241,j
105,52,g
105,52,f
105,52,j
105,52,f
105,110,d
105,110,c
105,180,b
105,180,i
105,212,b
105,212,a
106,96,c
106,96,f
106,96,e
106,96,b
107,32,e
107,32,h
107,121,h
107,121,b
108,49,g
108,73,b
108,105,d
109,28,i
109,28,g
109,28,d
109,28,h
110,83,j
110,83,f
110,167,e
110,167,c
110,194,b
110,194,e
110,232,j
110,232,e
110,248,a
110,248,j
111,58,i
111,58,a
111,106,b
111,106,d
111,179,d
111,179,h
111,192,i
111,192,h
111,194,g
111,194,e
112,25,j
112,125,f
113,34,i
113,34,h
113,34,d
113,34,b
113,126,d
113,126,e
113,126,f
113,126,j
114,43,d
114,43,j
114,43,h
114,60,f
114,60,a
114,60,g
114,69,b
114,69,j
114,69,g
115,70,j
115,80,f
115,117,i
115,131,e
115,144,e
116,85,b
116,137,a
116,161,j
116,214,b
116,271,d
117,55,e
117,55,i
118,40,a
118,40,e
118,40,j
118,80,g
118,80,b
118,80,f
118,156,d
118,156,j
118,156,i
118,244,c
118,244,i
118,244,d
119,31,b
119,31,h
119,31,j
119,113,e
119,113,a
119,113,f
120,74,f
120,74,b
120,143,d
120,143,a
120,174,e
120,174,i
121,2,e
122,60,f
122,60,b
122,60,i
122,145,b
122,145,i
122,145,j
122,182,a
122,182,f
122,182,j
122,268,e
122,268,g
122,268,i
123,91,b
123,91,h
124,32,f
124,32,c
124,32,e
124,32,h
124,35,j
124,35,c
124,35,e
124,35,g
124,107,d
