id,item
100,a
100,c
100,e
100,i
101,a
101,b
101,e
101,g
102,d
102,e
102,h
102,i
103,d
103,e
103,g
104,a
104,c
104,e
104,f
104,h
105,c
105,d
105,e
105,g
105,i
106,c
106,g
106,i
107,a
107,b
107,e
107,g
107,h
108,a
108,c
108,h
108,i
109,b
109,d
109,g
109,h
110,b
110,i
111,c
111,d
111,f
111,g
111,h
112,a
112,b
112,e
112,g
112,i
113,d
113,e
113,g
113,i
114,a
114,c
114,i
115,c
115,e
115,i
116,a
116,b
116,g
117,a
117,h
117,i
118,e
118,f
118,g
119,b
119,h
119,i
120,a
120,h
120,i
121,a
121,c
121,h
121,i
122,a
122,d
122,g
123,b
123,d
123,f
123,i
124,a
124,g
124,i
125,c
125,e
125,i
126,c
126,d
126,e
126,g
127,b
127,d
127,i
128,a
128,b
128,d
128,f
128,i
129,d
129,h
130,b
130,h
130,i
131,d
131,h
131,i
132,b
132,c
132,e
132,f
132,i
133,a
133,b
133,h
133,i
134,a
134,e
134,i
135,a
135,b
135,c
135,e
135,f
136,c
136,e
136,f
136,h
137,d
137,f
138,b
138,c
138,e
138,h
138,i
139,e
139,h
139,i
140,b
140,c
140,h
140,i
141,a
141,d
141,e
141,f
141,h
142,a
142,c
142,e
142,f
143,c
143,g
143,i
144,d
144,e
144,f
144,g
144,i
145,c
145,d
145,e
145,f
145,h
146,a
146,b
146,d
146,e
146,i
147,c
147,d
147,e
147,g
148,c
148,d
148,e
148,f
148,i
149,a
149,e
149,f
149,h
150,a
150,c
150,i
151,b
151,d
151,h
151,i
152,b
152,d
152,h
152,i
153,a
153,b
153,c
153,h
153,i
154,a
154,b
154,h
154,i
155,a
155,b
155,i
156,b
156,e
156,f
157,e
157,f
157,g
157,h
157,i
158,a
158,c
158,h
158,i
159,c
159,d
159,e
159,f
159,h
160,a
160,b
160,g
160,i
161,c
161,d
161,g
161,i
162,d
162,f
162,i
163,e
163,f
163,i
164,b
164,e
164,f
164,i
165,a
165,c
165,g
165,i
166,b
166,d
166,g
166,i
167,c
167,e
167,f
167,g
167,i
168,a
168,d
168,e
168,i
169,a
169,g
169,i
217,a
217,c
217,e
217,i
218,b
218,e
218,g
218,h
219,f
219,g
219,i
220,b
220,d
220,e
220,g
220,i
221,a
221,b
221,g
221,h
221,i
222,a
222,b
222,i
223,a
223,c
223,g
223,h
223,i
224,g
224,i
225,a
225,c
225,d
225,e
225,i
226,a
226,b
226,g
226,i
227,d
227,e
227,g
228,b
228,e
228,g
228,h
228,i
229,b
229,d
229,f
229,i
230,f
230,g
230,h
230,i
231,c
231,h
231,i
232,a
232,c
232,g
232,i
233,a
233,b
233,e
233,f
233,h
234,b
234,c
234,d
234,g
235,b
235,c
235,e
235,i
236,b
236,d
236,e
236,i
237,d
237,f
237,g
237,h
237,i
238,a
238,b
238,c
238,e
238,f
239,c
239,d
239,g
239,h
240,a
240,d
240,e
240,i
241,a
241,c
241,h
241,i
242,a
242,f
242,g
242,i
243,b
243,d
243,i
244,d
244,e
244,f
244,g
244,h
245,a
245,b
245,c
245,e
245,f
246,c
246,h
246,i
247,a
247,c
247,d
247,f
247,i
248,b
248,d
248,h
249,a
249,b
249,d
249,g
249,h
250,a
250,e
250,f
250,g
250,i
251,a
251,e
251,f
251,i
252,b
252,e
252,h
252,i
253,a
253,b
253,f
253,i
254,b
254,d
254,f
254,i
255,a
255,c
255,e
255,g
255,h
256,a
256,b
256,c
256,f
257,a
257,d
257,e
257,g
258,b
258,c
258,e
258,f
259,b
259,d
259,g
260,e
260,f
260,h
260,i
261,b
261,c
